,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
0,-122.05,37.37,27.0,3885.0,661.0,1537.0,606.0,6.6085,344700.0
1,-118.3,34.26,43.0,1510.0,310.0,809.0,277.0,3.599,176500.0
2,-117.81,33.78,27.0,3589.0,507.0,1484.0,495.0,5.7934,270500.0
3,-118.36,33.82,28.0,67.0,15.0,49.0,11.0,6.1359,330000.0
4,-119.67,36.33,19.0,1241.0,244.0,850.0,237.0,2.9375,81700.0
5,-119.56,36.51,37.0,1018.0,213.0,663.0,204.0,1.6635,67000.0
6,-121.43,38.63,43.0,1009.0,225.0,604.0,218.0,1.6641,67000.0
7,-120.65,35.48,19.0,2310.0,471.0,1341.0,441.0,3.225,166900.0
8,-122.84,38.4,15.0,3080.0,617.0,1446.0,599.0,3.6696,194400.0
9,-118.02,34.08,31.0,2402.0,632.0,2830.0,603.0,2.3333,164200.0
10,-118.24,33.98,45.0,972.0,249.0,1288.0,261.0,2.2054,125000.0
11,-119.12,35.85,37.0,736.0,166.0,564.0,138.0,2.4167,58300.0
12,-121.93,37.25,36.0,1089.0,182.0,535.0,170.0,4.69,252600.0
13,-117.03,32.97,16.0,3936.0,694.0,1935.0,659.0,4.5625,231200.0
14,-117.97,33.73,27.0,2097.0,325.0,1217.0,331.0,5.7121,222500.0
15,-117.99,33.81,42.0,161.0,40.0,157.0,50.0,2.2,153100.0
16,-120.81,37.53,15.0,570.0,123.0,189.0,107.0,1.875,181300.0
17,-121.2,38.69,26.0,3077.0,607.0,1603.0,595.0,2.7174,137500.0
18,-118.88,34.21,26.0,1590.0,196.0,654.0,199.0,6.5851,300000.0
19,-122.59,38.01,35.0,8814.0,1307.0,3450.0,1258.0,6.1724,414300.0
20,-122.15,37.75,40.0,1445.0,256.0,849.0,255.0,3.8913,126300.0
21,-121.37,38.68,36.0,1775.0,296.0,937.0,305.0,3.1786,83400.0
22,-118.16,34.07,47.0,2994.0,543.0,1651.0,561.0,3.8644,241500.0
23,-122.2,37.79,45.0,2021.0,528.0,1410.0,480.0,2.7788,115400.0
24,-117.28,33.28,13.0,6131.0,1040.0,4049.0,940.0,3.8156,150700.0
25,-118.03,34.16,36.0,1401.0,218.0,667.0,225.0,7.1615,484700.0
26,-122.42,37.76,52.0,3587.0,1030.0,2259.0,979.0,2.5403,250000.0
27,-118.39,33.99,32.0,2612.0,418.0,1030.0,402.0,6.603,369200.0
28,-118.45,34.07,19.0,4845.0,1609.0,3751.0,1539.0,1.583,350000.0
29,-118.48,34.01,30.0,3078.0,954.0,1561.0,901.0,3.4852,425000.0
30,-119.35,36.33,14.0,1195.0,220.0,568.0,229.0,3.1486,105600.0
31,-118.3,33.91,34.0,1617.0,493.0,1530.0,500.0,2.6182,172600.0
32,-121.13,39.31,17.0,3442.0,705.0,1693.0,619.0,2.8102,128900.0
33,-118.08,34.55,5.0,16181.0,2971.0,8152.0,2651.0,4.5237,141800.0
34,-118.32,33.94,38.0,1067.0,170.0,499.0,169.0,4.6389,183800.0
35,-118.11,34.0,33.0,2886.0,726.0,2650.0,728.0,2.625,178700.0
36,-122.53,37.97,52.0,1560.0,451.0,700.0,419.0,2.5125,270800.0
37,-118.02,33.92,34.0,1478.0,251.0,956.0,277.0,5.5238,185300.0
38,-118.05,33.93,31.0,894.0,203.0,883.0,190.0,3.6771,141500.0
39,-119.01,34.23,11.0,5785.0,1035.0,2760.0,985.0,4.693,232200.0
40,-119.32,36.2,15.0,1562.0,275.0,961.0,287.0,3.4231,83300.0
41,-116.92,32.77,16.0,2770.0,406.0,1269.0,429.0,6.6783,275000.0
42,-118.06,34.15,37.0,1980.0,226.0,697.0,226.0,15.0001,500001.0
43,-117.27,34.09,36.0,848.0,186.0,737.0,169.0,0.9838,79300.0
44,-118.23,34.13,48.0,1308.0,286.0,835.0,294.0,4.2891,214800.0
45,-117.24,33.17,4.0,9998.0,1874.0,3925.0,1672.0,4.2826,237500.0
46,-121.91,37.44,24.0,1212.0,251.0,799.0,242.0,5.0808,212500.0
47,-118.29,33.94,47.0,1782.0,338.0,1003.0,329.0,2.5398,105700.0
48,-121.35,38.0,6.0,1649.0,369.0,732.0,350.0,3.4231,123800.0
49,-117.99,33.78,19.0,7399.0,1698.0,3554.0,1593.0,3.1049,173900.0
50,-120.99,37.7,14.0,9849.0,1887.0,4356.0,1780.0,3.5877,160900.0
51,-119.42,35.97,21.0,554.0,121.0,426.0,122.0,2.3516,47500.0
52,-122.21,37.8,39.0,2003.0,500.0,1109.0,464.0,3.0682,156500.0
53,-118.17,33.8,26.0,1589.0,380.0,883.0,366.0,3.5313,187500.0
54,-117.9,34.09,39.0,1726.0,333.0,892.0,335.0,4.3409,191800.0
55,-117.99,33.93,36.0,1287.0,233.0,779.0,229.0,4.8523,175800.0
56,-121.42,38.72,10.0,3054.0,528.0,1932.0,510.0,3.0903,91900.0
57,-118.77,34.26,26.0,3038.0,468.0,1825.0,468.0,5.6385,196900.0
58,-121.93,37.33,44.0,1449.0,291.0,676.0,282.0,3.575,292200.0
59,-121.82,37.25,16.0,2650.0,600.0,1969.0,586.0,3.9461,194300.0
60,-122.29,37.56,36.0,805.0,140.0,445.0,139.0,5.8221,289400.0
61,-121.78,37.23,18.0,1747.0,317.0,1055.0,285.0,5.898,229100.0
62,-118.41,34.0,35.0,1062.0,305.0,1026.0,307.0,2.7153,265500.0
63,-121.67,40.87,31.0,1581.0,299.0,776.0,287.0,2.9063,77800.0
64,-118.0,33.92,26.0,2830.0,399.0,1204.0,404.0,6.1273,289600.0
65,-117.22,32.73,38.0,3966.0,768.0,1640.0,729.0,3.8409,291400.0
66,-121.08,37.69,19.0,6473.0,1212.0,3559.0,1123.0,3.2246,129300.0
67,-117.53,33.92,12.0,2290.0,319.0,728.0,228.0,6.1561,233500.0
68,-117.46,34.08,18.0,3830.0,750.0,2767.0,702.0,3.6602,120700.0
69,-117.97,33.86,35.0,1691.0,367.0,1265.0,378.0,3.5855,174300.0
70,-121.92,37.33,52.0,2125.0,382.0,930.0,387.0,5.2831,299500.0
71,-118.2,34.04,44.0,1582.0,544.0,1998.0,515.0,1.6888,125000.0
72,-118.06,33.8,22.0,1892.0,442.0,1015.0,404.0,4.1379,212500.0
73,-122.05,37.36,34.0,2400.0,419.0,1017.0,384.0,4.1369,316900.0
74,-123.79,39.5,24.0,1421.0,291.0,588.0,274.0,2.325,157300.0
75,-120.79,37.49,44.0,1186.0,225.0,687.0,234.0,3.4167,160700.0
76,-121.89,37.35,47.0,2879.0,631.0,2229.0,606.0,3.2599,183100.0
77,-118.43,34.2,29.0,3051.0,694.0,1942.0,679.0,3.1118,238100.0
78,-118.75,34.17,18.0,6217.0,858.0,2703.0,834.0,6.8075,325900.0
79,-122.47,37.99,22.0,7274.0,1002.0,2468.0,957.0,7.494,439200.0
80,-120.69,37.4,46.0,860.0,130.0,496.0,147.0,3.5167,137500.0
81,-118.28,34.05,44.0,968.0,384.0,1805.0,375.0,1.4801,212500.0
82,-118.44,34.25,35.0,1583.0,324.0,1481.0,351.0,3.7,176000.0
83,-122.05,38.26,21.0,7195.0,1416.0,3927.0,1377.0,3.0912,126300.0
84,-121.99,37.35,18.0,1712.0,509.0,972.0,467.0,4.3971,238900.0
85,-121.02,37.68,28.0,2875.0,560.0,1608.0,558.0,3.5489,106400.0
86,-119.85,36.74,35.0,1191.0,190.0,537.0,182.0,3.5375,96700.0
87,-118.02,34.08,28.0,2769.0,631.0,2452.0,581.0,2.6071,175900.0
88,-123.52,41.01,17.0,1564.0,345.0,517.0,222.0,2.1542,83800.0
89,-122.4,37.62,44.0,1619.0,362.0,1064.0,335.0,4.0238,224200.0
90,-118.13,34.15,24.0,1125.0,341.0,579.0,321.0,2.8125,141700.0
91,-122.0,37.98,32.0,1013.0,169.0,436.0,173.0,5.1118,226900.0
92,-118.45,34.25,36.0,1453.0,270.0,808.0,275.0,4.3839,204600.0
93,-117.5,33.87,4.0,6755.0,1017.0,2866.0,850.0,5.0493,239800.0
94,-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,7.5,295200.0
95,-119.82,36.64,30.0,1694.0,312.0,1008.0,321.0,2.2466,96000.0
96,-120.21,36.77,20.0,1745.0,348.0,1093.0,302.0,2.3194,90600.0
97,-120.97,38.42,16.0,1748.0,322.0,4930.0,287.0,4.3029,121900.0
98,-121.19,38.87,20.0,3118.0,500.0,1405.0,519.0,6.0,209400.0
99,-118.2,33.77,52.0,1375.0,457.0,1089.0,317.0,2.2344,200000.0
100,-118.3,34.02,49.0,2120.0,483.0,1522.0,416.0,1.85,116800.0
101,-122.23,37.79,43.0,5963.0,1344.0,4367.0,1231.0,2.1917,112800.0
102,-121.31,38.62,31.0,3114.0,430.0,1121.0,456.0,6.244,240000.0
103,-117.25,32.8,35.0,2281.0,506.0,1005.0,496.0,4.2296,275000.0
104,-118.26,33.99,36.0,2016.0,505.0,1807.0,464.0,1.6901,103500.0
105,-119.39,36.54,34.0,1590.0,422.0,1272.0,407.0,1.8068,59000.0
106,-121.51,38.52,30.0,3236.0,588.0,1167.0,569.0,4.0972,181400.0
107,-119.18,34.27,6.0,2307.0,386.0,910.0,364.0,5.215,279500.0
108,-118.18,33.77,30.0,1418.0,439.0,720.0,417.0,2.6371,159400.0
109,-122.43,37.74,52.0,1514.0,314.0,724.0,301.0,5.3292,300900.0
110,-117.93,33.91,24.0,1698.0,297.0,676.0,273.0,5.2017,364600.0
111,-124.16,40.77,35.0,2141.0,438.0,1053.0,434.0,2.8529,85600.0
112,-117.95,33.63,27.0,2489.0,481.0,1082.0,443.0,5.8777,358800.0
113,-118.05,34.1,36.0,1606.0,318.0,889.0,294.0,4.7931,272600.0
114,-116.97,32.81,19.0,1573.0,471.0,844.0,414.0,2.1422,125000.0
115,-118.85,34.17,42.0,564.0,96.0,220.0,81.0,4.5625,318800.0
116,-117.73,33.63,15.0,2874.0,592.0,1382.0,586.0,5.5137,161800.0
117,-122.07,37.34,30.0,1851.0,238.0,631.0,236.0,10.1007,500001.0
118,-117.18,33.02,15.0,3540.0,453.0,1364.0,425.0,13.6623,500001.0
119,-118.41,34.0,38.0,324.0,70.0,268.0,73.0,2.55,271400.0
120,-121.96,37.3,20.0,4228.0,1006.0,2334.0,1007.0,4.3081,227300.0
121,-121.74,38.55,34.0,2299.0,579.0,1300.0,536.0,1.6435,148500.0
122,-118.21,33.92,28.0,2949.0,1003.0,4551.0,930.0,1.9026,131900.0
123,-121.9,36.61,29.0,3412.0,827.0,1574.0,759.0,2.9309,217100.0
124,-117.81,33.84,17.0,4343.0,515.0,1605.0,484.0,10.5981,460100.0
125,-118.19,33.93,42.0,1829.0,391.0,1614.0,377.0,3.1912,146400.0
126,-120.93,37.73,14.0,2799.0,618.0,2294.0,596.0,2.6343,81500.0
127,-122.02,37.96,25.0,2615.0,368.0,935.0,366.0,6.6727,305100.0
128,-122.47,37.79,52.0,2844.0,623.0,1380.0,596.0,4.75,500001.0
129,-117.19,34.03,25.0,2513.0,340.0,900.0,320.0,6.4962,182400.0
130,-117.24,32.8,28.0,1072.0,331.0,692.0,321.0,2.1357,187500.0
131,-118.13,34.1,19.0,2742.0,756.0,1396.0,703.0,2.5663,197500.0
132,-122.42,37.73,50.0,3426.0,769.0,2261.0,671.0,2.888,246400.0
133,-118.14,34.71,32.0,1164.0,248.0,588.0,270.0,1.1917,86900.0
134,-119.76,36.75,39.0,2233.0,563.0,2031.0,491.0,1.8641,50800.0
135,-122.34,37.56,39.0,3562.0,391.0,1139.0,391.0,12.6417,500001.0
136,-122.45,40.46,16.0,2734.0,501.0,1413.0,484.0,2.8085,105700.0
137,-118.29,33.91,31.0,2025.0,618.0,2231.0,593.0,2.4741,151200.0
138,-118.32,33.91,34.0,3041.0,677.0,1920.0,640.0,4.5304,181300.0
139,-122.04,37.36,26.0,3298.0,460.0,1241.0,472.0,6.8753,403000.0
140,-117.39,34.1,12.0,7184.0,1516.0,4862.0,1235.0,2.4492,103800.0
141,-122.25,37.8,36.0,1678.0,606.0,1645.0,543.0,2.2303,116700.0
142,-117.98,34.1,22.0,5661.0,1209.0,5389.0,1178.0,3.7727,159700.0
143,-120.06,36.95,24.0,646.0,134.0,454.0,149.0,2.125,61900.0
144,-121.47,39.49,17.0,1554.0,242.0,553.0,230.0,3.2174,91800.0
145,-122.2,37.79,35.0,1802.0,459.0,1009.0,390.0,2.3036,126000.0
146,-117.23,32.75,23.0,2415.0,653.0,1275.0,596.0,3.1389,101800.0
147,-119.75,36.74,39.0,1740.0,351.0,1098.0,347.0,1.8958,51300.0
148,-117.92,34.03,35.0,1341.0,233.0,898.0,216.0,4.1118,157300.0
149,-121.64,39.28,25.0,2857.0,662.0,2076.0,685.0,1.8095,64100.0
150,-117.14,32.72,45.0,1140.0,310.0,840.0,339.0,1.6156,156300.0
151,-122.29,37.54,41.0,1743.0,349.0,811.0,349.0,4.9464,282400.0
152,-117.91,33.94,15.0,5799.0,842.0,2314.0,787.0,6.3433,350500.0
153,-118.38,34.27,8.0,3248.0,847.0,2608.0,731.0,2.8214,158300.0
154,-122.03,37.6,24.0,2077.0,383.0,1488.0,389.0,4.5721,214700.0
155,-117.13,33.15,16.0,3907.0,671.0,1759.0,663.0,3.1776,172600.0
156,-118.28,34.0,42.0,855.0,284.0,890.0,247.0,1.2778,112500.0
157,-122.45,37.72,52.0,1729.0,319.0,890.0,300.0,4.3036,261800.0
158,-119.77,36.77,38.0,3065.0,658.0,1441.0,625.0,2.0564,64700.0
159,-117.7,33.64,15.0,5743.0,773.0,2380.0,773.0,8.1926,326600.0
160,-117.07,32.79,36.0,3583.0,642.0,1711.0,602.0,3.9745,170800.0
161,-117.85,33.62,13.0,5192.0,658.0,1865.0,662.0,15.0001,500001.0
162,-117.76,33.71,15.0,1010.0,350.0,470.0,342.0,3.2229,108300.0
163,-117.19,34.94,31.0,2034.0,444.0,1097.0,367.0,2.1522,60800.0
164,-120.97,37.69,15.0,4065.0,841.0,1986.0,680.0,3.072,114300.0
165,-117.19,33.64,12.0,1481.0,265.0,757.0,243.0,3.235,210700.0
166,-118.38,33.91,36.0,2904.0,515.0,1463.0,534.0,5.8374,289600.0
167,-121.56,38.26,43.0,1906.0,327.0,996.0,314.0,2.9744,136800.0
168,-118.96,35.87,17.0,1668.0,307.0,888.0,277.0,3.7794,96200.0
169,-116.96,32.8,24.0,2493.0,693.0,1420.0,643.0,1.8357,104200.0
170,-118.27,33.94,30.0,1764.0,397.0,1406.0,362.0,1.449,93100.0
171,-119.18,34.19,36.0,4519.0,1081.0,4818.0,1061.0,2.8561,179100.0
172,-118.23,33.9,28.0,1108.0,284.0,1498.0,289.0,2.4706,88800.0
173,-120.49,37.26,28.0,2159.0,416.0,1283.0,378.0,1.8939,83000.0
174,-121.43,38.64,34.0,2010.0,411.0,1501.0,422.0,2.0417,65900.0
175,-118.14,34.17,42.0,2757.0,713.0,2112.0,653.0,2.7148,166800.0
176,-119.09,35.41,12.0,3449.0,522.0,1754.0,551.0,5.6235,130600.0
177,-118.02,33.71,24.0,2598.0,443.0,1184.0,435.0,5.8623,287800.0
178,-121.53,39.06,20.0,561.0,109.0,308.0,114.0,3.3021,70800.0
179,-119.29,34.28,38.0,2387.0,748.0,1537.0,741.0,2.3147,192500.0
180,-121.84,37.34,33.0,1019.0,191.0,938.0,215.0,4.0929,165000.0
181,-117.99,33.88,42.0,1461.0,302.0,986.0,314.0,3.9559,161100.0
182,-122.24,37.55,3.0,6164.0,1175.0,2198.0,975.0,6.7413,435900.0
183,-121.8,37.31,21.0,2630.0,446.0,1789.0,389.0,5.0543,232000.0
184,-117.43,34.08,13.0,4563.0,1187.0,2475.0,1019.0,2.1189,121700.0
185,-118.28,34.02,29.0,515.0,229.0,2690.0,217.0,0.4999,500001.0
186,-117.3,33.06,31.0,2128.0,520.0,1049.0,485.0,4.027,290000.0
187,-118.2,34.04,18.0,796.0,227.0,547.0,218.0,1.0333,135400.0
188,-117.63,34.11,30.0,2674.0,428.0,1404.0,456.0,4.2969,165600.0
189,-121.94,37.33,37.0,818.0,269.0,576.0,261.0,2.1902,250000.0
190,-118.07,33.93,5.0,906.0,187.0,1453.0,158.0,4.125,171900.0
191,-117.19,32.83,30.0,3225.0,555.0,1601.0,532.0,4.3317,173300.0
192,-118.21,33.89,42.0,1739.0,370.0,1104.0,297.0,2.2125,120700.0
193,-118.41,34.19,39.0,1169.0,242.0,612.0,247.0,4.1429,200000.0
194,-117.0,32.8,29.0,2045.0,398.0,912.0,368.0,3.0189,144100.0
195,-116.92,32.86,11.0,2204.0,518.0,1472.0,497.0,2.3693,127000.0
196,-121.04,38.95,22.0,1931.0,445.0,1009.0,407.0,2.75,153200.0
197,-122.12,37.45,38.0,1276.0,314.0,955.0,287.0,2.0096,155700.0
198,-119.48,36.54,28.0,2112.0,363.0,1011.0,335.0,4.2222,108900.0
199,-121.02,37.68,25.0,3262.0,588.0,1834.0,578.0,3.996,114500.0
200,-123.28,40.77,25.0,767.0,206.0,301.0,121.0,1.625,79200.0
201,-122.89,39.11,10.0,1588.0,333.0,585.0,254.0,2.2551,71100.0
202,-122.04,37.97,21.0,6445.0,1839.0,3621.0,1735.0,2.5841,112500.0
203,-118.08,33.81,21.0,1189.0,281.0,577.0,264.0,3.3155,237500.0
204,-118.31,34.09,36.0,787.0,420.0,1506.0,360.0,1.2412,216700.0
205,-122.16,37.75,35.0,667.0,140.0,406.0,133.0,3.8047,94300.0
206,-121.61,38.38,37.0,1365.0,276.0,952.0,268.0,4.037,156900.0
207,-122.1,37.68,31.0,1892.0,428.0,1162.0,389.0,3.125,167100.0
208,-122.28,37.87,49.0,2026.0,548.0,963.0,521.0,1.9805,173700.0
209,-116.91,34.24,23.0,6379.0,1636.0,1350.0,568.0,1.6336,124500.0
210,-121.83,37.28,33.0,1115.0,250.0,1168.0,261.0,3.9009,178600.0
211,-118.3,33.81,17.0,5544.0,1068.0,3008.0,1038.0,5.322,282700.0
212,-117.96,33.7,23.0,4417.0,740.0,1865.0,693.0,5.3428,279300.0
213,-122.14,40.07,31.0,2053.0,465.0,1193.0,447.0,1.4923,44400.0
214,-121.44,38.73,25.0,1287.0,224.0,727.0,236.0,4.7396,135500.0
215,-122.26,37.55,17.0,4576.0,814.0,1941.0,807.0,5.9572,443800.0
216,-121.64,37.14,14.0,5487.0,1024.0,2823.0,979.0,4.175,229800.0
217,-117.18,34.48,8.0,3561.0,691.0,2156.0,659.0,2.7778,86900.0
218,-122.28,38.34,44.0,1066.0,190.0,416.0,174.0,3.6389,304000.0
219,-117.9,33.6,25.0,2465.0,585.0,906.0,472.0,3.6538,500001.0
220,-122.18,37.78,33.0,142.0,31.0,575.0,47.0,3.875,225000.0
221,-121.49,38.51,30.0,3166.0,607.0,1857.0,579.0,3.1768,79500.0
222,-118.19,33.91,43.0,1531.0,357.0,1509.0,376.0,2.6354,128100.0
223,-118.27,34.1,50.0,2113.0,398.0,793.0,418.0,4.7132,304600.0
224,-121.44,38.61,34.0,172.0,38.0,149.0,55.0,2.6442,55000.0
225,-121.91,37.43,33.0,2791.0,496.0,1714.0,485.0,4.8304,224900.0
226,-117.86,33.72,31.0,1194.0,297.0,1602.0,306.0,2.3333,157700.0
227,-118.35,33.92,29.0,736.0,232.0,584.0,231.0,3.6167,200000.0
228,-117.26,33.84,12.0,1159.0,209.0,523.0,159.0,2.7232,123200.0
229,-122.43,37.73,52.0,3602.0,738.0,2270.0,647.0,3.8934,251800.0
230,-121.8,37.99,16.0,3077.0,465.0,1575.0,446.0,5.5,179500.0
231,-122.58,38.46,15.0,2936.0,517.0,1182.0,501.0,3.3981,246900.0
232,-122.47,37.78,52.0,2042.0,378.0,1153.0,408.0,4.1856,404700.0
233,-118.08,34.0,32.0,1165.0,358.0,997.0,361.0,0.9817,166300.0
234,-122.0,37.35,20.0,4304.0,851.0,2059.0,835.0,5.1674,333000.0
235,-119.02,35.41,21.0,2534.0,554.0,1297.0,517.0,2.0575,67000.0
236,-118.13,34.18,52.0,1464.0,211.0,603.0,226.0,5.8309,309100.0
237,-121.94,37.27,23.0,1932.0,552.0,997.0,482.0,3.662,211900.0
238,-120.51,35.91,39.0,768.0,162.0,264.0,118.0,5.3245,250000.0
239,-121.65,38.03,28.0,3144.0,694.0,1095.0,482.0,3.4402,192400.0
240,-121.62,39.79,11.0,3835.0,727.0,1456.0,658.0,2.5374,97200.0
241,-117.08,32.82,16.0,1787.0,236.0,770.0,228.0,7.1298,278600.0
242,-123.21,39.14,15.0,2235.0,545.0,1376.0,516.0,1.9032,100000.0
243,-119.61,36.33,32.0,1492.0,284.0,926.0,264.0,3.0139,61500.0
244,-114.98,33.07,18.0,1183.0,363.0,374.0,127.0,3.1607,57500.0
245,-118.38,34.04,36.0,3005.0,771.0,2054.0,758.0,2.0437,309100.0
246,-117.99,33.7,13.0,4013.0,903.0,1999.0,859.0,4.625,248800.0
247,-116.26,33.72,10.0,9404.0,1827.0,3208.0,1283.0,3.1086,105800.0
248,-118.4,34.0,10.0,1526.0,339.0,705.0,268.0,5.8083,321800.0
249,-120.64,35.46,6.0,5876.0,1406.0,2877.0,1304.0,2.5437,146400.0
250,-122.03,37.39,22.0,3280.0,933.0,1842.0,795.0,4.4107,232700.0
251,-118.29,33.88,36.0,1751.0,438.0,1175.0,419.0,3.0739,218600.0
252,-117.02,32.69,7.0,6055.0,1004.0,3031.0,952.0,4.436,135000.0
253,-119.32,36.3,15.0,2864.0,571.0,1480.0,475.0,2.9698,93400.0
254,-122.31,38.01,18.0,4123.0,874.0,1895.0,772.0,3.2759,195000.0
255,-118.86,34.19,27.0,1931.0,261.0,736.0,244.0,6.7805,392900.0
256,-117.14,33.81,13.0,4496.0,756.0,2044.0,695.0,3.2778,148800.0
257,-118.64,34.22,25.0,2762.0,410.0,1166.0,439.0,6.8643,333700.0
258,-116.63,33.89,22.0,1540.0,364.0,610.0,268.0,1.5227,71000.0
259,-118.28,34.11,45.0,1607.0,331.0,633.0,332.0,3.1445,438300.0
260,-119.03,35.38,52.0,1695.0,290.0,540.0,260.0,2.7312,147100.0
261,-118.26,33.88,36.0,1212.0,222.0,775.0,224.0,5.5591,136500.0
262,-117.89,33.85,18.0,2036.0,414.0,1292.0,380.0,3.875,273000.0
263,-122.09,37.38,36.0,2587.0,416.0,1055.0,410.0,6.1995,407200.0
264,-122.94,39.1,18.0,681.0,120.0,272.0,105.0,2.8906,140600.0
265,-117.1,32.68,42.0,2013.0,568.0,1920.0,557.0,2.0724,107600.0
266,-118.98,35.41,36.0,1482.0,266.0,640.0,274.0,3.875,94500.0
267,-120.23,37.96,52.0,1230.0,262.0,609.0,243.0,2.0057,68200.0
268,-118.2,33.94,43.0,1934.0,511.0,1895.0,493.0,2.5029,159700.0
269,-121.3,37.95,9.0,674.0,242.0,575.0,193.0,2.2024,45000.0
270,-121.74,38.55,33.0,6861.0,1820.0,3717.0,1767.0,1.7311,182600.0
271,-121.96,37.33,35.0,2294.0,411.0,1054.0,449.0,4.0667,276900.0
272,-120.6,37.36,27.0,2521.0,484.0,1307.0,456.0,3.0911,86900.0
273,-122.47,37.7,44.0,2034.0,423.0,1491.0,373.0,4.5341,236500.0
274,-117.05,32.58,23.0,1918.0,339.0,1392.0,340.0,4.087,134800.0
275,-117.9,33.87,34.0,1411.0,292.0,1040.0,299.0,3.4338,195200.0
276,-117.23,32.87,15.0,2290.0,662.0,1034.0,594.0,3.0104,204200.0
277,-122.08,37.88,24.0,2059.0,462.0,410.0,294.0,2.3971,99400.0
278,-118.21,33.8,45.0,1160.0,274.0,1095.0,269.0,2.7308,139000.0
279,-122.08,37.64,30.0,5267.0,1253.0,4065.0,1113.0,3.3479,182100.0
280,-118.38,34.14,40.0,1965.0,354.0,666.0,357.0,6.0876,483800.0
281,-118.2,33.8,45.0,2456.0,495.0,1300.0,450.0,3.9792,210200.0
282,-117.62,33.43,27.0,3858.0,1062.0,2321.0,873.0,3.3155,231000.0
283,-122.11,37.4,31.0,2836.0,490.0,1138.0,481.0,4.9519,500001.0
284,-122.84,38.98,21.0,939.0,176.0,556.0,178.0,1.7196,75000.0
285,-121.26,38.27,20.0,1314.0,229.0,712.0,219.0,4.4125,144600.0
286,-116.89,33.73,15.0,2094.0,316.0,937.0,277.0,5.3623,201300.0
287,-122.67,38.44,32.0,3771.0,741.0,1786.0,721.0,3.2415,172200.0
288,-117.94,33.87,46.0,2066.0,450.0,1275.0,448.0,3.9375,187000.0
289,-118.14,34.69,34.0,1439.0,327.0,708.0,298.0,3.2699,100000.0
290,-122.4,37.59,22.0,2754.0,477.0,1163.0,479.0,6.2306,500001.0
291,-118.08,33.84,28.0,4216.0,948.0,2997.0,896.0,3.7961,162700.0
292,-116.36,33.78,6.0,24121.0,4522.0,4176.0,2221.0,3.3799,239300.0
293,-117.94,33.85,26.0,1888.0,429.0,1550.0,458.0,3.3393,168600.0
294,-117.47,33.94,34.0,559.0,139.0,532.0,137.0,3.0687,88500.0
295,-117.64,33.65,4.0,6842.0,1512.0,3256.0,1439.0,5.4132,216600.0
296,-118.5,34.24,34.0,2634.0,412.0,1114.0,423.0,5.9401,315300.0
297,-118.19,33.78,24.0,225.0,72.0,439.0,71.0,2.8533,137500.0
298,-117.66,34.12,16.0,3853.0,541.0,1726.0,497.0,6.1195,251100.0
299,-122.3,37.97,34.0,2854.0,528.0,1211.0,452.0,3.5353,164700.0
